model,context,batch,path,H,P,G,request_id,wave,queue_delay,admission_delay,prefill_latency,first_decode_step,decode_duration,completion_time
Llama-3.1-8B,LC20K,32,HBM_RESIDENT_WAVE,20000,128,32,6,0,0.0,0.0,0.1432805883435886,0.03221598955085586,1.0315856754846735,1.174866263828262
Llama-3.1-8B,LC20K,32,HBM_RESIDENT_WAVE,20000,128,32,7,0,0.0,0.0,0.1432805883435886,0.03221598955085586,1.0315856754846735,1.174866263828262
Llama-3.1-8B,LC20K,32,HBM_RESIDENT_WAVE,20000,128,32,8,0,0.0,0.0,0.1432805883435886,0.03221598955085586,1.0315856754846735,1.174866263828262
Llama-3.1-8B,LC20K,32,HBM_RESIDENT_WAVE,20000,128,32,9,0,0.0,0.0,0.1432805883435886,0.03221598955085586,1.0315856754846735,1.174866263828262
Llama-3.1-8B,LC20K,32,HBM_RESIDENT_WAVE,20000,128,32,10,0,0.0,0.0,0.1432805883435886,0.03221598955085586,1.0315856754846735,1.174866263828262
Llama-3.1-8B,LC20K,32,HBM_RESIDENT_WAVE,20000,128,32,11,0,0.0,0.0,0.1432805883435886,0.03221598955085586,1.0315856754846735,1.174866263828262
Llama-3.1-8B,LC20K,32,HBM_RESIDENT_WAVE,20000,128,32,12,0,0.0,0.0,0.1432805883435886,0.03221598955085586,1.0315856754846735,1.174866263828262
Llama-3.1-8B,LC20K,32,HBM_RESIDENT_WAVE,20000,128,32,13,0,0.0,0.0,0.1432805883435886,0.03221598955085586,1.0315856754846735,1.174866263828262
Llama-3.1-8B,LC20K,32,HBM_RESIDENT_WAVE,20000,128,32,14,0,0.0,0.0,0.1432805883435886,0.03221598955085586,1.0315856754846735,1.174866263828262
Llama-3.1-8B,LC20K,32,HBM_RESIDENT_WAVE,20000,128,32,15,0,0.0,0.0,0.1432805883435886,0.03221598955085586,1.0315856754846735,1.174866263828262
Llama-3.1-8B,LC20K,32,HBM_RESIDENT_WAVE,20000,128,32,16,0,0.0,0.0,0.1432805883435886,0.03221598955085586,1.0315856754846735,1.174866263828262
Llama-3.1-8B,LC20K,32,HBM_RESIDENT_WAVE,20000,128,32,17,0,0.0,0.0,0.1432805883435886,0.03221598955085586,1.0315856754846735,1.174866263828262
Llama-3.1-8B,LC20K,32,HBM_RESIDENT_WAVE,20000,128,32,18,0,0.0,0.0,0.1432805883435886,0.03221598955085586,1.0315856754846735,1.174866263828262
Llama-3.1-8B,LC20K,32,HBM_RESIDENT_WAVE,20000,128,32,19,0,0.0,0.0,0.1432805883435886,0.03221598955085586,1.0315856754846735,1.174866263828262
Llama-3.1-8B,LC20K,32,HBM_RESIDENT_WAVE,20000,128,32,20,0,0.0,0.0,0.1432805883435886,0.03221598955085586,1.0315856754846735,1.174866263828262
Llama-3.1-8B,LC20K,32,HBM_RESIDENT_WAVE,20000,128,32,21,0,0.0,0.0,0.1432805883435886,0.03221598955085586,1.0315856754846735,1.174866263828262
Llama-3.1-8B,LC20K,32,HBM_RESIDENT_WAVE,20000,128,32,22,0,0.0,0.0,0.1432805883435886,0.03221598955085586,1.0315856754846735,1.174866263828262
Llama-3.1-8B,LC20K,32,HBM_RESIDENT_WAVE,20000,128,32,23,0,0.0,0.0,0.1432805883435886,0.03221598955085586,1.0315856754846735,1.174866263828262
Llama-3.1-8B,LC20K,32,HBM_RESIDENT_WAVE,20000,128,32,24,0,0.0,0.0,0.1432805883435886,0.03221598955085586,1.0315856754846735,1.174866263828262
Llama-3.1-8B,LC20K,32,HBM_RESIDENT_WAVE,20000,128,32,25,0,0.0,0.0,0.1432805883435886,0.03221598955085586,1.0315856754846735,1.174866263828262
Llama-3.1-8B,LC20K,32,HBM_RESIDENT_WAVE,20000,128,32,26,0,0.0,0.0,0.1432805883435886,0.03221598955085586,1.0315856754846735,1.174866263828262
Llama-3.1-8B,LC20K,32,HBM_RESIDENT_WAVE,20000,128,32,27,0,0.0,0.0,0.1432805883435886,0.03221598955085586,1.0315856754846735,1.174866263828262
Llama-3.1-8B,LC20K,32,HBM_RESIDENT_WAVE,20000,128,32,28,0,0.0,0.0,0.1432805883435886,0.03221598955085586,1.0315856754846735,1.174866263828262
Llama-3.1-8B,LC20K,32,HBM_RESIDENT_WAVE,20000,128,32,29,0,0.0,0.0,0.1432805883435886,0.03221598955085586,1.0315856754846735,1.174866263828262
Llama-3.1-8B,LC20K,32,HBM_RESIDENT_WAVE,20000,128,32,30,0,0.0,0.0,0.1432805883435886,0.03221598955085586,1.0315856754846735,1.174866263828262
Llama-3.1-8B,LC20K,32,HBM_RESIDENT_WAVE,20000,128,32,31,0,0.0,0.0,0.1432805883435886,0.03221598955085586,1.0315856754846735,1.174866263828262
Llama-3.1-8B,LC20K,32,HBM_BEST,20000,128,32,0,0,0.0,0.0,0.1432805883435886,0.03221598955085586,1.0315856754846735,1.174866263828262
Llama-3.1-8B,LC20K,32,HBM_BEST,20000,128,32,1,0,0.0,0.0,0.1432805883435886,0.03221598955085586,1.0315856754846735,1.174866263828262
Llama-3.1-8B,LC20K,32,HBM_BEST,20000,128,32,2,0,0.0,0.0,0.1432805883435886,0.03221598955085586,1.0315856754846735,1.174866263828262
Llama-3.1-8B,LC20K,32,HBM_BEST,20000,128,32,3,0,0.0,0.0,0.1432805883435886,0.03221598955085586,1.0315856754846735,1.174866263828262
Llama-3.1-8B,LC20K,32,HBM_BEST,20000,128,32,4,0,0.0,0.0,0.1432805883435886,0.03221598955085586,1.0315856754846735,1.174866263828262
Llama-3.1-8B,LC20K,32,HBM_BEST,20000,128,32,5,0,0.0,0.0,0.1432805883435886,0.03221598955085586,1.0315856754846735,1.174866263828262
Llama-3.1-8B,LC20K,32,HBM_BEST,20000,128,32,6,0,0.0,0.0,0.1432805883435886,0.03221598955085586,1.0315856754846735,1.174866263828262
Llama-3.1-8B,LC20K,32,HBM_BEST,20000,128,32,7,0,0.0,0.0,0.1432805883435886,0.03221598955085586,1.0315856754846735,1.174866263828262
Llama-3.1-8B,LC20K,32,HBM_BEST,20000,128,32,8,0,0.0,0.0,0.1432805883435886,0.03221598955085586,1.0315856754846735,1.174866263828262
Llama-3.1-8B,LC20K,32,HBM_BEST,20000,128,32,9,0,0.0,0.0,0.1432805883435886,0.03221598955085586,1.0315856754846735,1.174866263828262
Llama-3.1-8B,LC20K,32,HBM_BEST,20000,128,32,10,0,0.0,0.0,0.1432805883435886,0.03221598955085586,1.0315856754846735,1.174866263828262
Llama-3.1-8B,LC20K,32,HBM_BEST,20000,128,32,11,0,0.0,0.0,0.1432805883435886,0.03221598955085586,1.0315856754846735,1.174866263828262
Llama-3.1-8B,LC20K,32,HBM_BEST,20000,128,32,12,0,0.0,0.0,0.1432805883435886,0.03221598955085586,1.0315856754846735,1.174866263828262
Llama-3.1-8B,LC20K,32,HBM_BEST,20000,128,32,13,0,0.0,0.0,0.1432805883435886,0.03221598955085586,1.0315856754846735,1.174866263828262
Llama-3.1-8B,LC20K,32,HBM_BEST,20000,128,32,14,0,0.0,0.0,0.1432805883435886,0.03221598955085586,1.0315856754846735,1.174866263828262
Llama-3.1-8B,LC20K,32,HBM_BEST,20000,128,32,15,0,0.0,0.0,0.1432805883435886,0.03221598955085586,1.0315856754846735,1.174866263828262
Llama-3.1-8B,LC20K,32,HBM_BEST,20000,128,32,16,0,0.0,0.0,0.1432805883435886,0.03221598955085586,1.0315856754846735,1.174866263828262
Llama-3.1-8B,LC20K,32,HBM_BEST,20000,128,32,17,0,0.0,0.0,0.1432805883435886,0.03221598955085586,1.0315856754846735,1.174866263828262
Llama-3.1-8B,LC20K,32,HBM_BEST,20000,128,32,18,0,0.0,0.0,0.1432805883435886,0.03221598955085586,1.0315856754846735,1.174866263828262
Llama-3.1-8B,LC20K,32,HBM_BEST,20000,128,32,19,0,0.0,0.0,0.1432805883435886,0.03221598955085586,1.0315856754846735,1.174866263828262
Llama-3.1-8B,LC20K,32,HBM_BEST,20000,128,32,20,0,0.0,0.0,0.1432805883435886,0.03221598955085586,1.0315856754846735,1.174866263828262
Llama-3.1-8B,LC20K,32,HBM_BEST,20000,128,32,21,0,0.0,0.0,0.1432805883435886,0.03221598955085586,1.0315856754846735,1.174866263828262
Llama-3.1-8B,LC20K,32,HBM_BEST,20000,128,32,22,0,0.0,0.0,0.1432805883435886,0.03221598955085586,1.0315856754846735,1.174866263828262
Llama-3.1-8B,LC20K,32,HBM_BEST,20000,128,32,23,0,0.0,0.0,0.1432805883435886,0.03221598955085586,1.0315856754846735,1.174866263828262
Llama-3.1-8B,LC20K,32,HBM_BEST,20000,128,32,24,0,0.0,0.0,0.1432805883435886,0.03221598955085586,1.0315856754846735,1.174866263828262
Llama-3.1-8B,LC20K,32,HBM_BEST,20000,128,32,25,0,0.0,0.0,0.1432805883435886,0.03221598955085586,1.0315856754846735,1.174866263828262
Llama-3.1-8B,LC20K,32,HBM_BEST,20000,128,32,26,0,0.0,0.0,0.1432805883435886,0.03221598955085586,1.0315856754846735,1.174866263828262
Llama-3.1-8B,LC20K,32,HBM_BEST,20000,128,32,27,0,0.0,0.0,0.1432805883435886,0.03221598955085586,1.0315856754846735,1.174866263828262
Llama-3.1-8B,LC20K,32,HBM_BEST,20000,128,32,28,0,0.0,0.0,0.1432805883435886,0.03221598955085586,1.0315856754846735,1.174866263828262
Llama-3.1-8B,LC20K,32,HBM_BEST,20000,128,32,29,0,0.0,0.0,0.1432805883435886,0.03221598955085586,1.0315856754846735,1.174866263828262
Llama-3.1-8B,LC20K,32,HBM_BEST,20000,128,32,30,0,0.0,0.0,0.1432805883435886,0.03221598955085586,1.0315856754846735,1.174866263828262
Llama-3.1-8B,LC20K,32,HBM_BEST,20000,128,32,31,0,0.0,0.0,0.1432805883435886,0.03221598955085586,1.0315856754846735,1.174866263828262
Llama-3.1-8B,LC20K,32,M3D_GPU,20000,128,32,0,0,0.0,0.0,0.1432805883435886,0.03025940406884731,0.9689334974021183,1.1122140857457068
Llama-3.1-8B,LC20K,32,M3D_GPU,20000,128,32,1,0,0.0,0.0,0.1432805883435886,0.03025940406884731,0.9689334974021183,1.1122140857457068
Llama-3.1-8B,LC20K,32,M3D_GPU,20000,128,32,2,0,0.0,0.0,0.1432805883435886,0.03025940406884731,0.9689334974021183,1.1122140857457068
Llama-3.1-8B,LC20K,32,M3D_GPU,20000,128,32,3,0,0.0,0.0,0.1432805883435886,0.03025940406884731,0.9689334974021183,1.1122140857457068
Llama-3.1-8B,LC20K,32,M3D_GPU,20000,128,32,4,0,0.0,0.0,0.1432805883435886,0.03025940406884731,0.9689334974021183,1.1122140857457068
Llama-3.1-8B,LC20K,32,M3D_GPU,20000,128,32,5,0,0.0,0.0,0.1432805883435886,0.03025940406884731,0.9689334974021183,1.1122140857457068
Llama-3.1-8B,LC20K,32,M3D_GPU,20000,128,32,6,0,0.0,0.0,0.1432805883435886,0.03025940406884731,0.9689334974021183,1.1122140857457068
Llama-3.1-8B,LC20K,32,M3D_GPU,20000,128,32,7,0,0.0,0.0,0.1432805883435886,0.03025940406884731,0.9689334974021183,1.1122140857457068
Llama-3.1-8B,LC20K,32,M3D_GPU,20000,128,32,8,0,0.0,0.0,0.1432805883435886,0.03025940406884731,0.9689334974021183,1.1122140857457068
Llama-3.1-8B,LC20K,32,M3D_GPU,20000,128,32,9,0,0.0,0.0,0.1432805883435886,0.03025940406884731,0.9689334974021183,1.1122140857457068
Llama-3.1-8B,LC20K,32,M3D_GPU,20000,128,32,10,0,0.0,0.0,0.1432805883435886,0.03025940406884731,0.9689334974021183,1.1122140857457068
