model,context,batch,path,H,P,G,prefill_gpu_dynamic_J,prefill_gpu_static_J,prefill_hbm_read_J,prefill_hbm_write_J,prefill_host_memory_J,prefill_c2c_J,decode_gpu_dynamic_J,decode_gpu_static_J,decode_hbm_read_J,decode_hbm_write_J,decode_host_memory_J,decode_c2c_J,admission_host_memory_J,admission_c2c_J,admission_hbm_write_J,admission_gpu_static_J,E2E_J,decode_array_read_J,decode_array_write_J,decode_read_peripheral_J,decode_row_select_J,decode_column_select_J,decode_write_driver_J,decode_router_J,decode_pipeline_register_J,decode_sram_read_J,decode_sram_write_J,decode_mac_J,decode_reduction_J,decode_interface_J,decode_miv_J,decode_feol_wire_J,decode_feol_unresolved_J,prefill_array_read_J,prefill_array_write_J,prefill_read_peripheral_J,prefill_row_select_J,prefill_column_select_J,prefill_write_driver_J,prefill_router_J,prefill_pipeline_register_J,prefill_sram_read_J,prefill_sram_write_J,prefill_mac_J,prefill_reduction_J,prefill_interface_J,prefill_miv_J,prefill_feol_wire_J,prefill_feol_unresolved_J
Llama-3.1-8B,LC20K,1,HBM_HOST_OFFLOAD,20000,128,32,1.7057105159207842,0.4476650766506776,0.438867001344,0.00616421891072,0.0,0.0,52.77402980679682,13.540784143186736,13.554872745984,6.695786905600002e-05,0.0,0.0,0.0,0.0,0.0,0.0,82.4681604666628,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Llama-3.1-8B,LC20K,1,HBM_RESIDENT_WAVE,20000,128,32,1.7057105159207842,0.4476650766506776,0.438867001344,0.00616421891072,0.0,0.0,52.77402980679682,13.540784143186736,13.554872745984,6.695786905600002e-05,0.0,0.0,0.0,0.0,0.0,0.0,82.4681604666628,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Llama-3.1-8B,LC20K,1,HBM_BEST,20000,128,32,1.7057105159207842,0.4476650766506776,0.438867001344,0.00616421891072,0.0,0.0,52.77402980679682,13.540784143186736,13.554872745984,6.695786905600002e-05,0.0,0.0,0.0,0.0,0.0,0.0,82.4681604666628,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Llama-3.1-8B,LC20K,1,M3D_GPU,20000,128,32,1.7057105159207842,0.43401374432038986,,,,,52.774029806796804,13.259396230704134,,,,,,,,,72.34572906646285,0.8327210156949503,1.249902592e-08,0.18073163661312,4.194304e-06,4.194304e-06,3.3554432e-06,0.0,0.0,0.0,0.0,0.0,0.0,2.25916223488,0.011051199100322812,0.7549573827387984,0.0,0.026961062782566398,1.1506747904e-06,0.00585156001792,0.00038613248,0.00038613248,0.000308905984,0.0,0.0,0.0,0.0,0.0,0.0,0.074689030144,0.00036535815270891727,0.024994210427333585,0.0
Llama-3.1-8B,LC20K,1,M3D_NMP_UNIFORM,20000,128,32,1.7057105159207842,0.4069008033095851,,,,,3.3796381474816,3.8603020888772943,,,,,,,,,19.436488827693278,0.8327210156949503,1.249902592e-08,0.18073163661312,4.194304e-06,4.194304e-06,3.3554432e-06,1.892008198144,0.08587887771648,1.170215436288,1.170215436288,0.818249990144,0.041347448832,0.14467629056,0.011051199100322812,1.9440035131648352,1.6588865733283509,0.026961062782566398,1.1506747904e-06,0.00585156001792,0.00038613248,0.00038613248,0.000308905984,0.0,0.0,0.0,0.0,0.0,0.0,0.074689030144,0.00036535815270891727,0.024990566963742595,0.0
Llama-3.1-8B,LC20K,1,M3D_NMP_CPA,20000,128,32,1.7057105159207842,0.4069008033095851,,,,,3.3796381474816,3.4126971045486836,,,,,,,,,16.64577318425436,0.8327210156949503,1.249902592e-08,0.18073163661312,4.194304e-06,4.194304e-06,3.3554432e-06,1.43679619072,0.08587887771648,0.636802203648,0.636802203648,0.818249990144,0.014671675392,0.14467629056,0.011051199100322812,1.3419546061512115,1.4665374043871369,0.026961062782566398,1.1506747904e-06,0.00585156001792,0.00038613248,0.00038613248,0.000308905984,0.0,0.0,0.0,0.0,0.0,0.0,0.074689030144,0.00036535815270891727,0.02499222995227516,0.0
Llama-3.1-8B,LC20K,8,HBM_HOST_OFFLOAD,20000,128,32,13.645684127366273,2.650690884356389,0.9893707776,0.04931375128576,0.0,0.0,108.03883127341057,27.720651591533628,27.748894507008,0.0005356629524480001,0.0,0.0,0.0,0.0,0.0,0.0,180.84397257551308,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Llama-3.1-8B,LC20K,8,HBM_RESIDENT_WAVE,20000,128,32,13.645684127366273,2.650690884356389,0.9893707776,0.04931375128576,0.0,0.0,108.03883127341057,27.720651591533628,27.748894507008,0.0005356629524480001,0.0,0.0,0.0,0.0,0.0,0.0,180.84397257551308,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Llama-3.1-8B,LC20K,8,HBM_BEST,20000,128,32,13.645684127366273,2.650690884356389,0.9893707776,0.04931375128576,0.0,0.0,108.03883127341057,27.720651591533628,27.748894507008,0.0005356629524480001,0.0,0.0,0.0,0.0,0.0,0.0,180.84397257551308,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Llama-3.1-8B,LC20K,8,M3D_GPU,20000,128,32,13.645684127366273,2.650690884356389,,,,,108.03883127341057,26.455962130046967,,,,,,,,,159.37482440763375,1.7047070858805247,9.999220736e-08,0.36998526009344,3.3554432e-05,3.3554432e-05,2.68435456e-05,0.0,0.0,0.0,0.0,0.0,0.0,4.624949968896,0.022623991096191353,1.5411733904210276,0.0,0.06078034477056,9.2053983232e-06,0.013191610368,0.00308905984,0.00308905984,0.002471247872,0.0,0.0,0.0,0.0,0.0,0.0,0.17725136896,0.0008670651683466143,0.059373281447368344,0.0
Llama-3.1-8B,LC20K,8,M3D_NMP_UNIFORM,20000,128,32,13.645684127366273,2.650690884356389,,,,,27.0371051798528,20.69309576483079,,,,,,,,,122.60757106595766,1.7047070858805247,9.999220736e-08,0.36998526009344,3.3554432e-05,3.3554432e-05,2.68435456e-05,9.749740388352,0.67543192567808,9.37151299584,9.37151299584,6.545999921152,0.330779590656,1.15741032448,0.022623991096191353,10.068516385352556,8.89243845029215,0.06078034477056,9.2053983232e-06,0.013191610368,0.00308905984,0.00308905984,0.002471247872,0.0,0.0,0.0,0.0,0.0,0.0,0.17725136896,0.0008670651683466143,0.059492780219448926,0.0
Llama-3.1-8B,LC20K,8,M3D_NMP_CPA,20000,128,32,13.645684127366273,2.650690884356389,,,,,27.0371051798528,16.845823732651866,,,,,,,,,103.40254702886752,1.7047070858805247,9.999220736e-08,0.36998526009344,3.3554432e-05,3.3554432e-05,2.68435456e-05,6.5182707482624,0.67543192567808,6.257512808448,6.257512808448,6.545999921152,0.085362475008,1.15741032448,0.022623991096191353,6.068924978552596,7.239151279707153,0.06078034477056,9.2053983232e-06,0.013191610368,0.00308905984,0.00308905984,0.002471247872,0.0,0.0,0.0,0.0,0.0,0.0,0.17725136896,0.0008670651683466143,0.05950648321475338,0.0
Llama-3.1-8B,LC20K,32,HBM_HOST_OFFLOAD,20000,128,32,54.58273650946509,10.602763537425556,2.876812296192,0.19725500514304,0.0,0.0,297.5181505875148,76.33733998586584,76.414111973376,0.0021426518097920006,0.0,0.0,0.0,0.0,0.0,0.0,518.531312546792,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Llama-3.1-8B,LC20K,32,HBM_RESIDENT_WAVE,20000,128,32,54.58273650946509,10.602763537425556,2.876812296192,0.19725500514304,0.0,0.0,297.5181505875148,76.33733998586584,76.414111973376,0.0021426518097920006,0.0,0.0,0.0,0.0,0.0,0.0,518.531312546792,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Llama-3.1-8B,LC20K,32,HBM_BEST,20000,128,32,54.58273650946509,10.602763537425556,2.876812296192,0.19725500514304,0.0,0.0,297.5181505875148,76.33733998586584,76.414111973376,0.0021426518097920006,0.0,0.0,0.0,0.0,0.0,0.0,518.531312546792,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Llama-3.1-8B,LC20K,32,M3D_GPU,20000,128,32,54.58273650946509,10.602763537425556,,,,,297.51815058751487,71.70107880775676,,,,,,,,,458.13242065085154,4.6943736122310655,3.9996882944e-07,1.0188548263116801,0.000134217728,0.000134217728,0.0001073741824,0.0,0.0,0.0,0.0,0.0,0.0,12.736222199808,0.06230209795262376,4.25648789379899,0.0,0.1767321687293952,3.68215932928e-05,0.038357497282559994,0.01235623936,0.01235623936,0.009884991488,0.0,0.0,0.0,0.0,0.0,0.0,0.528893673472,0.002587202347382031,0.17786953534710367,0.0
Llama-3.1-8B,LC20K,32,M3D_NMP_UNIFORM,20000,128,32,54.58273650946509,10.602763537425556,,,,,108.1484207194112,80.20128589661158,,,,,,,,,479.07498556996296,4.6943736122310655,3.9996882944e-07,1.0188548263116801,0.000134217728,0.000134217728,0.0001073741824,36.688873127936,2.7352499224576,37.412265787392,37.412265787392,26.183999684608,1.323118362624,4.62964129792,0.06230209795262376,37.954529262753475,34.46487691232768,0.1767321687293952,3.68215932928e-05,0.038357497282559994,0.01235623936,0.01235623936,0.009884991488,0.0,0.0,0.0,0.0,0.0,0.0,0.528893673472,0.002587202347382031,0.17784718190358037,0.0
Llama-3.1-8B,LC20K,32,M3D_NMP_CPA,20000,128,32,54.58273650946509,10.602763537425556,,,,,108.1484207194112,65.51736931424574,,,,,,,,,412.26583951948516,4.6943736122310655,3.9996882944e-07,1.0188548263116801,0.000134217728,0.000134217728,0.0001073741824,25.158174428364802,2.7352499224576,27.506204737536002,27.506204737536002,26.183999684608,0.346951778304,4.62964129792,0.06230209795262376,24.458352999337027,28.15476140801371,0.1767321687293952,3.68215932928e-05,0.038357497282559994,0.01235623936,0.01235623936,0.009884991488,0.0,0.0,0.0,0.0,0.0,0.0,0.528893673472,0.002587202347382031,0.17789686512522768,0.0
Llama-3.1-8B,LC64K,1,HBM_HOST_OFFLOAD,64000,128,32,3.312660918766666,0.6434884479502628,0.577279033344,0.00616421891072,0.0,0.0,70.0183235002368,17.965332722467576,17.984057769984002,6.695786905600002e-05,0.0,0.0,0.0,0.0,0.0,0.0,110.5073735695291,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Llama-3.1-8B,LC64K,1,HBM_RESIDENT_WAVE,64000,128,32,3.312660918766666,0.6434884479502628,0.577279033344,0.00616421891072,0.0,0.0,70.0183235002368,17.965332722467576,17.984057769984002,6.695786905600002e-05,0.0,0.0,0.0,0.0,0.0,0.0,110.5073735695291,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Llama-3.1-8B,LC64K,1,HBM_BEST,64000,128,32,3.312660918766666,0.6434884479502628,0.577279033344,0.00616421891072,0.0,0.0,70.0183235002368,17.965332722467576,17.984057769984002,6.695786905600002e-05,0.0,0.0,0.0,0.0,0.0,0.0,110.5073735695291,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Llama-3.1-8B,LC64K,1,M3D_GPU,64000,128,32,3.312660918766666,0.6434884479502628,,,,,70.0183235002368,17.369903124494424,,,,,,,,,96.8825555422477,1.1048206156693503,1.249902592e-08,0.23978743693312,4.194304e-06,4.194304e-06,3.3554432e-06,0.0,0.0,0.0,0.0,0.0,0.0,2.9973597388799997,0.014662250178962923,1.006209399053699,0.0,0.035464175281766395,1.1506747904e-06,0.00769705377792,0.00038613248,0.00038613248,0.000308905984,0.0,0.0,0.0,0.0,0.0,0.0,0.097757702144,0.0004782034989164206,0.03284889721279711,0.0
Llama-3.1-8B,LC64K,1,M3D_NMP_UNIFORM,64000,128,32,3.312660918766666,0.6434884479502628,,,,,3.9185223254016,4.2491621376557065,,,,,,,,,24.16382900723091,1.1048206156693503,1.249902592e-08,0.23978743693312,4.194304e-06,4.194304e-06,3.3554432e-06,2.1986206285824,0.08665553698816,1.1812506501120001,1.1812506501120001,1.556447494144,0.041347448832,0.16774496256,0.014662250178962923,2.26622898522359,1.8259912969925876,0.035464175281766395,1.1506747904e-06,0.00769705377792,0.00038613248,0.00038613248,0.000308905984,0.0,0.0,0.0,0.0,0.0,0.0,0.097757702144,0.0004782034989164206,0.0326960082568845,0.0
Llama-3.1-8B,LC64K,1,M3D_NMP_CPA,64000,128,32,3.312660918766666,0.6434884479502628,,,,,3.9185223254016,3.918270837816743,,,,,,,,,21.76545452310836,1.1048206156693503,1.249902592e-08,0.23978743693312,4.194304e-06,4.194304e-06,3.3554432e-06,1.8437053349888,0.08665553698816,0.7078500433920001,0.7078500433920001,1.556447494144,0.025341984768,0.16774496256,0.014662250178962923,1.6586605064644664,1.6837974681428705,0.035464175281766395,1.1506747904e-06,0.00769705377792,0.00038613248,0.00038613248,0.000308905984,0.0,0.0,0.0,0.0,0.0,0.0,0.097757702144,0.0004782034989164206,0.032697102679741484,0.0
Llama-3.1-8B,LC64K,8,HBM_HOST_OFFLOAD,64000,128,32,26.501287350133328,5.147907583602103,2.0966670336,0.04931375128576,0.0,0.0,245.99318082093046,63.11704022578034,63.182374699008,0.0005356629524480001,0.0,0.0,0.0,0.0,0.0,0.0,406.08830712729247,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Llama-3.1-8B,LC64K,8,HBM_RESIDENT_WAVE,64000,128,32,26.501287350133328,5.147907583602103,2.0966670336,0.04931375128576,0.0,0.0,245.99318082093046,63.11704022578034,63.182374699008,0.0005356629524480001,0.0,0.0,0.0,0.0,0.0,0.0,406.08830712729247,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Llama-3.1-8B,LC64K,8,HBM_BEST,64000,128,32,26.501287350133328,5.147907583602103,2.0966670336,0.04931375128576,0.0,0.0,245.99318082093046,63.11704022578034,63.182374699008,0.0005356629524480001,0.0,0.0,0.0,0.0,0.0,0.0,406.08830712729247,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Llama-3.1-8B,LC64K,8,M3D_GPU,64000,128,32,26.501287350133328,5.147907583602103,,,,,245.99318082093058,59.34628631449816,,,,,,,,,356.46227071325126,3.8815038856757247,9.999220736e-08,0.84243166265344,3.3554432e-05,3.3554432e-05,2.68435456e-05,0.0,0.0,0.0,0.0,0.0,0.0,10.530530000896,0.051512459993328,3.517408597534025,0.0,0.12880524476416,9.2053983232e-06,0.027955560448,0.00308905984,0.00308905984,0.002471247872,0.0,0.0,0.0,0.0,0.0,0.0,0.36180074496,0.001769829821382135,0.12113803198877067,0.0
Llama-3.1-8B,LC64K,8,M3D_NMP_UNIFORM,64000,128,32,26.501287350133328,5.147907583602103,,,,,31.3481786032128,23.892571413916908,,,,,,,,,161.0851880217205,3.8815038856757247,9.999220736e-08,0.84243166265344,3.3554432e-05,3.3554432e-05,2.68435456e-05,12.1938015944704,0.69114613727232,9.425984421888,9.425984421888,12.451579953152,0.330779590656,1.34195970048,0.051512459993328,12.640960362135296,10.26734825625078,0.12880524476416,9.2053983232e-06,0.027955560448,0.00308905984,0.00308905984,0.002471247872,0.0,0.0,0.0,0.0,0.0,0.0,0.36180074496,0.001769829821382135,0.12116661899447499,0.0
Llama-3.1-8B,LC64K,8,M3D_NMP_CPA,64000,128,32,26.501287350133328,5.147907583602103,,,,,31.3481786032128,21.037654162299802,,,,,,,,,144.3836081261585,3.8815038856757247,9.999220736e-08,0.84243166265344,3.3554432e-05,3.3554432e-05,2.68435456e-05,9.783781359616,0.69114613727232,6.421713518592,6.421713518592,12.451579953152,0.20456983756799998,1.34195970048,0.051512459993328,8.565890294937084,9.040505437312618,0.12880524476416,9.2053983232e-06,0.027955560448,0.00308905984,0.00308905984,0.002471247872,0.0,0.0,0.0,0.0,0.0,0.0,0.36180074496,0.001769829821382135,0.12118865572028811,0.0
Llama-3.1-8B,LC64K,32,HBM_HOST_OFFLOAD,64000,128,32,106.00514940053331,24.77310037788346,3.960905662464,0.19725500514304,4.460122210304,1.4495397183488,849.335548777595,793.1343233063747,111.05496937267205,0.0,142.795046125568,46.4083899908096,0.0,0.0,0.0,0.0,2083.5743499476957,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Llama-3.1-8B,LC64K,32,HBM_RESIDENT_WAVE,64000,128,32,106.00514940053331,20.591630334408414,8.026444529664,0.19725500514304,0.0,0.0,939.093665115013,240.95307210969844,241.20234344448,0.0021426518097919997,0.0,0.0,4.563402752,1.4831058944,2.276567547904,25.346757131190856,1589.741535916245,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Llama-3.1-8B,LC64K,32,HBM_BEST,64000,128,32,106.00514940053331,20.591630334408414,8.026444529664,0.19725500514304,0.0,0.0,939.093665115013,240.95307210969844,241.20234344448,0.0021426518097919997,0.0,0.0,4.563402752,1.4831058944,2.276567547904,25.346757131190856,1589.741535916245,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Llama-3.1-8B,LC64K,32,M3D_GPU,64000,128,32,106.00514940053331,20.59163033440841,,,,,849.3355487775949,203.24479740113412,,,,,,,,,1246.4427866441663,13.401560811411866,3.9996882944e-07,2.9086404365516803,0.000134217728,0.000134217728,0.0001073741824,0.0,0.0,0.0,0.0,0.0,0.0,36.358542327807996,0.17785596600766837,12.140279965429647,0.0,0.44883176870379515,3.68215932928e-05,0.09741329760256,0.01235623936,0.01235623936,0.009884991488,0.0,0.0,0.0,0.0,0.0,0.0,1.267091177472,0.006198260724102175,0.42423621737570527,0.0
Llama-3.1-8B,LC64K,32,M3D_NMP_UNIFORM,64000,128,32,106.00514940053331,20.59163033440841,,,,,125.3927144128512,92.44164789250752,,,,,,,,,631.2782682821589,13.401560811411866,3.9996882944e-07,2.9086404365516803,0.000134217728,0.000134217728,0.0001073741824,46.2656972521472,2.71509310406656,37.404716040192,37.404716040192,49.806319812608,1.323118362624,5.36783880192,0.17785596600766837,48.0676182212828,39.7249243646181,0.44883176870379515,3.68215932928e-05,0.09741329760256,0.01235623936,0.01235623936,0.009884991488,0.0,0.0,0.0,0.0,0.0,0.0,1.267091177472,0.006198260724102175,0.4244820223257839,0.0
Llama-3.1-8B,LC64K,32,M3D_NMP_CPA,64000,128,32,106.00514940053331,20.59163033440841,,,,,125.3927144128512,81.63266143365912,,,,,,,,,574.1616630691624,13.401560811411866,3.9996882944e-07,2.9086404365516803,0.000134217728,0.000134217728,0.0001073741824,37.7477234950144,2.71509310406656,28.101791711232,28.101791711232,49.806319812608,0.767428657152,5.36783880192,0.17785596600766837,34.08442969242454,35.07998153500487,0.44883176870379515,3.68215932928e-05,0.09741329760256,0.01235623936,0.01235623936,0.009884991488,0.0,0.0,0.0,0.0,0.0,0.0,1.267091177472,0.006198260724102175,0.4245067471739345,0.0
Llama-3.1-8B,LC126K,1,HBM_HOST_OFFLOAD,126000,128,32,5.577000122776772,1.0833391165674058,0.772314169344,0.00616421891072,0.0,0.0,94.3171009773568,24.199923902363302,24.225182121984002,6.695786905600002e-05,0.0,0.0,0.0,0.0,0.0,0.0,150.18109158717206,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Llama-3.1-8B,LC126K,1,HBM_RESIDENT_WAVE,126000,128,32,5.577000122776772,1.0833391165674058,0.772314169344,0.00616421891072,0.0,0.0,94.3171009773568,24.199923902363302,24.225182121984002,6.695786905600002e-05,0.0,0.0,0.0,0.0,0.0,0.0,150.18109158717206,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Llama-3.1-8B,LC126K,1,HBM_BEST,126000,128,32,5.577000122776772,1.0833391165674058,0.772314169344,0.00616421891072,0.0,0.0,94.3171009773568,24.199923902363302,24.225182121984002,6.695786905600002e-05,0.0,0.0,0.0,0.0,0.0,0.0,150.18109158717206,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Llama-3.1-8B,LC126K,1,M3D_GPU,126000,128,32,5.577000122776772,1.0833391165674058,,,,,94.3171009773568,23.16212530019313,,,,,,,,,131.5896864234293,1.4882336883605503,1.249902592e-08,0.32300242829312,4.194304e-06,4.194304e-06,3.3554432e-06,0.0,0.0,0.0,0.0,0.0,0.0,4.03754713088,0.019750575108530708,1.3483119972338338,0.0,0.047445833803366394,1.1506747904e-06,0.01029752225792,0.00038613248,0.00038613248,0.000308905984,0.0,0.0,0.0,0.0,0.0,0.0,0.130263558144,0.000637213652965414,0.043536880631902766,0.0
